unit,control_area,station
R142,N526,DELANCEY ST
R095,R515,DITMARS BL-31 S
R420,N547,DITMAS AV
R420,N548,DITMAS AV
R036,R186,DYCKMAN ST
R185,N003,DYCKMAN-200 ST
R431,R730,DYRE AV
R448,R406,E 143 ST
R448,R407,E 143 ST
R449,R408,E 149 ST
R449,R409,E 149 ST
R222,R417,E 177 ST-PARKCH
R388,R325,E 180 ST
R387,R323,E TREMONT AV
R376,H040,EAST 105 ST
R257,N528,EAST BROADWAY
R257,N529,EAST BROADWAY
R060,R621,EASTERN PKWY
R338,N194,EDGMERE
R162,R414,ELDER AVE
R004,J028,ELDERTS LANE
R218,N325A,ELMHURST AV
R142,A061,ESSEX ST
R200,N128,EUCLID AV
R543,PTH05,EXCHANGE PLACE
R285,N196,FAR ROCKAWAY
R015,N303,FIFTH AVE
R015,N304,FIFTH AVE
R054,R501,FIFTH AVE
R110,R645,FLATBUSH AV
R110,R646,FLATBUSH AV
R110,R647,FLATBUSH AV
R377,J007,FLUSHING AV
R316,N414,FLUSHING AV
R316,N414A,FLUSHING AV
R112,N217,FORDHAM RD
R112,N218,FORDHAM RD
R119,R289,FORDHAM RD
R403,K024,FOREST AV
R005,J030,FOREST PKWY
R337,N193,FRANK AV
R297,N113,FRANKLIN AV
R297,N114,FRANKLIN AV
R123,R622,FRANKLIN AV
R343,R117,FRANKLIN ST
R343,R118,FRANKLIN ST
R409,R319,FREEMAN ST
R409,R320,FREEMAN ST
R404,K025,FRESH POND RD
R391,D003,FT HAMILTON PKY
R391,D004,FT HAMILTON PKY
R369,E003,FT HAMILTON PKY
R289,N543,FT HAMILTON PKY
R289,N544,FT HAMILTON PKY
R318,N422,FULTON ST
R002,A077,FULTON STREET
R002,A081,FULTON STREET
R002,A082,FULTON STREET
R028,R113,FULTON STREET
R028,R113A,FULTON STREET
R028,R114,FULTON STREET
R014,R205,FULTON STREET
R014,R205A,FULTON STREET
R014,R208,FULTON STREET
R335,N191,GASTON AV
R380,J013,GATES AV
R249,H013,GRAHAM AV
R249,H014,GRAHAM AV
R059,R619,GRAND ARMY PLAZ
R254,N327,GRAND AV-NEWTON
R250,H015,GRAND ST
R250,H016,GRAND ST
R240,N520,GRAND ST
R093,R513,GRAND-30 AV
R382,N129,GRANT AV
R239,N405,GREENPOINT AV
R355,N138,GREENWOOD-111
R355,N139,GREENWOOD-111
R551,PTH04,GROVE STREET
R364,R331,GUN HILL RD
R226,R728,GUN HILL RD
R266,H028,HALSEY ST
R266,H030,HALSEY ST
R381,J016,HALSEY ST
R544,PTH02,HARRISON
R352,J003,HEWES ST
R252,N100,HIGH ST
R252,N101,HIGH ST
R416,N184,HOLLAND-B 90 ST
R290,R121,HOUSTON ST
R290,R122,HOUSTON ST
R290,R123,HOUSTON ST
R290,R124,HOUSTON ST
R414,N182,HOWARD BCH-JFK
R456,R605,HOYT ST
R225,R606,HOYT ST
R094,R514,HOYT ST-ASTORIA
R217,N108,HOYT/SCHERMER
